"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"810",66.0085678100586,67.0714263916016,65.8928604125977,66.5714263916016,13496000,66.5714263916016
"811",66.7271423339844,67.2142868041992,66.0614318847656,66.8785705566406,10897600,66.8785705566406
"812",66.7142868041992,67.6785736083984,66.3628540039062,67.4557113647461,12163900,67.4557113647461
"813",67.3257141113281,68.0214309692383,66.8099975585938,67.4357147216797,11746700,67.4357147216797
"814",67.2771453857422,68.5071411132812,67.1500015258789,68.4557113647461,13735400,68.4557113647461
"815",68.792854309082,69.3285675048828,68.2185745239258,68.7042846679688,13484800,68.7042846679688
"816",68.3571395874023,68.8357162475586,67.792854309082,68.4800033569336,10137400,68.4800033569336
"817",68.4857177734375,68.6071395874023,67.6614303588867,67.8142852783203,10394300,67.8142852783203
"818",67.5214309692383,68.21142578125,67.2585678100586,67.8871459960938,7584500,67.8871459960938
"819",68.1214294433594,68.6428604125977,67.7342834472656,68.2342834472656,9838500,68.2342834472656
"820",68.3571395874023,68.398567199707,67.7985687255859,68.0857162475586,8806700,68.0857162475586
"821",68.6457138061523,69.6571426391602,68.0757141113281,68.1985702514648,16219000,68.1985702514648
"822",68.4442825317383,68.812858581543,67.4471435546875,67.524284362793,11958800,67.524284362793
"823",67.6042861938477,68.1928558349609,67.1528549194336,67.9542846679688,11953200,67.9542846679688
"824",67.7714309692383,68.6571426391602,67.7428588867188,68.475715637207,7668500,68.475715637207
"825",69.4714279174805,69.898567199707,68.0571441650391,68.4300003051758,19737900,68.4300003051758
"826",68.5999984741211,69.25,68.148567199707,69.1985702514648,9104900,69.1985702514648
"827",68.9385681152344,69.1942825317383,68.524284362793,68.7942886352539,7865200,68.7942886352539
"828",69.0928573608398,69.2699966430664,68.0171432495117,68.0785675048828,13425300,68.0785675048828
"829",68.2200012207031,68.2200012207031,65.2642822265625,65.3928604125977,20617100,65.3928604125977
"830",64.0571441650391,65.4485702514648,63.6571426391602,65.2728576660156,26838700,65.2728576660156
"831",65.2728576660156,65.5528564453125,64.4700012207031,64.9328536987305,12133100,64.9328536987305
"832",65.3528594970703,65.9085693359375,64.7600021362305,65.5728607177734,10630200,65.5728607177734
"833",65.8571395874023,65.9042892456055,64.8814315795898,65.3600006103516,11960900,65.3600006103516
"834",65.1814270019531,65.2785720825195,62.6971435546875,63.2542877197266,16169300,63.2542877197266
"835",63.0328559875488,64.0014266967773,62.9285697937012,63.4142875671387,11471600,63.4142875671387
"836",63.4942855834961,64.5228576660156,63.2200012207031,64.3657150268555,9551500,64.3657150268555
"837",64.2714309692383,64.6214294433594,63.2028579711914,63.355712890625,9839900,63.355712890625
"838",63.5714302062988,64.3771438598633,63.4128570556641,64.1071395874023,10404800,64.1071395874023
"839",63.4385719299316,64.3628540039062,63.1457138061523,64.2228546142578,9516500,64.2228546142578
"840",64.6142883300781,65.312858581543,64.2571411132812,64.4542846679688,12472600,64.4542846679688
"841",64.0985717773438,64.2857131958008,62.4700012207031,62.6857147216797,15416100,62.6857147216797
"842",62.7000007629395,64.355712890625,62.5542869567871,64.2828598022461,18450600,64.2828598022461
"843",64.7414321899414,65.8000030517578,64.644287109375,65.648567199707,15290100,65.648567199707
"844",66,66.7442855834961,65.8571395874023,66.21142578125,13709500,66.21142578125
"845",65.8714294433594,66.6114273071289,65.1428604125977,65.1785736083984,13759200,65.1785736083984
"846",65.2357177734375,66.8000030517578,64.4828567504883,66.6942825317383,14332500,66.6942825317383
"847",66.6614303588867,66.855712890625,65.6514282226562,65.9457168579102,14928200,65.9457168579102
"848",65.6857147216797,66.4057159423828,64.4914321899414,64.5828552246094,19110700,64.5828552246094
"849",64.4642868041992,64.6385726928711,61.8571434020996,62.6542854309082,20216700,62.6542854309082
"850",63.644287109375,64.5699996948242,62.5900001525879,64.1600036621094,16747500,64.1600036621094
"851",63.4957122802734,64.4257125854492,61.4542846679688,64.0842895507812,59927700,64.0842895507812
"852",47.5328559875488,52.310001373291,47.2857131958008,51.6714286804199,92304800,51.6714286804199
"853",51.4014282226562,51.4385719299316,48.7857131958008,51.0128555297852,79160900,51.0128555297852
"854",50.8571434020996,52.7414283752441,50.7928581237793,51.3171424865723,33529300,51.3171424865723
