"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"428",3878.30004882812,3894.56005859375,3874.92993164062,3886.830078125,4879470000,3886.830078125
"429",3892.59008789062,3915.77001953125,3892.59008789062,3915.59008789062,4648360000,3915.59008789062
"430",3910.48999023438,3918.35009765625,3902.63989257812,3911.22998046875,4568320000,3911.22998046875
"431",3920.78002929688,3931.5,3884.93994140625,3909.8798828125,4837070000,3909.8798828125
"432",3916.39990234375,3925.98999023438,3890.38989257812,3916.3798828125,4590960000,3916.3798828125
"433",3911.64990234375,3937.22998046875,3905.78002929688,3934.830078125,4135060000,3934.830078125
"434",3939.61010742188,3950.42993164062,3923.85009765625,3932.59008789062,5058990000,3932.59008789062
"435",3918.5,3933.61010742188,3900.42993164062,3931.330078125,4730650000,3931.330078125
"436",3915.86010742188,3921.97998046875,3885.03002929688,3913.96997070312,4793650000,3913.96997070312
"437",3921.15991210938,3930.40991210938,3903.07006835938,3906.7099609375,4845320000,3906.7099609375
"438",3885.55004882812,3902.919921875,3874.7099609375,3876.5,5917100000,3876.5
"439",3857.07006835938,3895.97998046875,3805.59008789062,3881.3701171875,6296610000,3881.3701171875
"440",3873.7099609375,3928.64990234375,3859.60009765625,3925.42993164062,6012790000,3925.42993164062
"441",3915.80004882812,3925.02001953125,3814.0400390625,3829.34008789062,6547470000,3829.34008789062
"442",3839.65991210938,3861.080078125,3789.5400390625,3811.14990234375,6526070000,3811.14990234375
"443",3842.51000976562,3914.5,3842.51000976562,3901.82006835938,5114820000,3901.82006835938
"444",3903.63989257812,3906.40991210938,3868.57006835938,3870.2900390625,5536010000,3870.2900390625
"445",3863.98999023438,3874.46997070312,3818.86010742188,3819.71997070312,6173660000,3819.71997070312
"446",3818.53002929688,3843.669921875,3723.34008789062,3768.46997070312,7195400000,3768.46997070312
"447",3793.580078125,3851.68994140625,3730.18994140625,3841.93994140625,6851070000,3841.93994140625
"448",3844.38989257812,3881.06005859375,3819.25,3821.35009765625,5871710000,3821.35009765625
"449",3851.92993164062,3903.76000976562,3851.92993164062,3875.43994140625,5513560000,3875.43994140625
"450",3891.98999023438,3917.35009765625,3885.72998046875,3898.81005859375,5847380000,3898.81005859375
"451",3915.5400390625,3960.27001953125,3915.5400390625,3939.34008789062,5312880000,3939.34008789062
"452",3924.52001953125,3944.98999023438,3915.2099609375,3943.34008789062,4476280000,3943.34008789062
"453",3942.9599609375,3970.080078125,3923.5400390625,3968.93994140625,4900100000,3968.93994140625
"454",3973.59008789062,3981.0400390625,3953.43994140625,3962.7099609375,4613080000,3962.7099609375
"455",3949.57006835938,3983.8701171875,3935.73999023438,3974.1201171875,4561660000,3974.1201171875
"456",3953.5,3969.6201171875,3910.86010742188,3915.4599609375,5118590000,3915.4599609375
"457",3913.13989257812,3930.1201171875,3886.75,3913.10009765625,7757420000,3913.10009765625
"458",3916.47998046875,3955.31005859375,3914.15991210938,3940.59008789062,4316260000,3940.59008789062
"459",3937.60009765625,3949.1298828125,3901.57006835938,3910.52001953125,4669010000,3910.52001953125
"460",3919.92993164062,3942.080078125,3889.07006835938,3889.13989257812,4783020000,3889.13989257812
"461",3879.34008789062,3919.5400390625,3853.5,3909.52001953125,4948340000,3909.52001953125
"462",3917.1201171875,3978.18994140625,3917.1201171875,3974.5400390625,5483160000,3974.5400390625
"463",3969.31005859375,3981.830078125,3943.25,3971.09008789062,4628180000,3971.09008789062
"464",3963.34008789062,3968.01000976562,3944.35009765625,3958.55004882812,4121510000,3958.55004882812
"465",3967.25,3994.40991210938,3966.97998046875,3972.88989257812,4578050000,3972.88989257812
"466",3992.78002929688,4020.6298828125,3992.78002929688,4019.8701171875,4162130000,4019.8701171875
"467",4034.43994140625,4083.419921875,4034.43994140625,4077.90991210938,4005030000,4077.90991210938
"468",4075.57006835938,4086.22998046875,4068.13989257812,4073.93994140625,4081270000,4073.93994140625
"469",4074.2900390625,4083.1298828125,4068.31005859375,4079.94995117188,4120810000,4079.94995117188
"470",4089.94995117188,4098.18994140625,4082.5400390625,4097.169921875,3907100000,4097.169921875
"471",4096.10986328125,4129.47998046875,4095.51000976562,4128.7998046875,3640390000,4128.7998046875
"472",4124.7099609375,4131.759765625,4114.81982421875,4127.990234375,3588900000,4127.990234375
"473",4130.10009765625,4148,4124.43017578125,4141.58984375,3734720000,4141.58984375
"474",4141.580078125,4151.68994140625,4120.8701171875,4124.66015625,3985350000,4124.66015625
"475",4139.759765625,4173.490234375,4139.759765625,4170.419921875,4033420000,4170.419921875
"476",4174.14013671875,4191.31005859375,4170.75,4185.47021484375,4163820000,4185.47021484375
"477",4179.7998046875,4180.81005859375,4150.47021484375,4163.259765625,3810290000,4163.259765625
"478",4159.18017578125,4159.18017578125,4118.3798828125,4134.93994140625,4342650000,4134.93994140625
"479",4128.419921875,4175.02001953125,4126.35009765625,4173.419921875,3887250000,4173.419921875
"480",4170.4599609375,4179.56982421875,4123.68994140625,4134.97998046875,4245140000,4134.97998046875
"481",4138.77978515625,4194.169921875,4138.77978515625,4180.169921875,3569880000,4180.169921875
"482",4185.02978515625,4194.18994140625,4182.35986328125,4187.6201171875,3748320000,4187.6201171875
"483",4188.25,4193.35009765625,4176.22021484375,4186.72021484375,3710700000,4186.72021484375
"484",4185.14013671875,4201.52978515625,4181.77978515625,4183.18017578125,3787360000,4183.18017578125
"485",4206.14013671875,4218.77978515625,4176.81005859375,4211.47021484375,4298680000,4211.47021484375
"486",4198.10009765625,4198.10009765625,4174.85009765625,4181.169921875,4300880000,4181.169921875
"487",4191.97998046875,4209.39013671875,4188.02978515625,4192.66015625,4070220000,4192.66015625
"488",4179.0400390625,4179.0400390625,4128.58984375,4164.66015625,4452460000,4164.66015625
"489",4177.06005859375,4187.72021484375,4160.93994140625,4167.58984375,4230920000,4167.58984375
"490",4169.14013671875,4202.7001953125,4147.330078125,4201.6201171875,4.511e+09,4201.6201171875
"491",4210.33984375,4238.0400390625,4201.64013671875,4232.60009765625,4016080000,4232.60009765625
"492",4228.2900390625,4236.39013671875,4188.1298828125,4188.43017578125,4560700000,4188.43017578125
"493",4150.33984375,4162.0400390625,4111.52978515625,4152.10009765625,4870710000,4152.10009765625
"494",4130.5498046875,4134.72998046875,4056.8798828125,4063.0400390625,4733070000,4063.0400390625
